caseid,commonweight,age,gender,ed,race_id,married,registered,pid_text,ideology,income,pol_interest,CC21_320a_t,CC21_320b_t,CC21_320c_t,CC21_320d_t,CC21_320e_t,CC21_321a_t,CC21_321b_t,CC21_321c_t,CC21_321d_t,CC21_321e_t,CC21_321f_t,CC21_322a_t,CC21_322b_t,CC21_322c_t,CC21_322d_t,CC21_322e_t,CC21_323a_t,CC21_323b_t,CC21_323c_t,CC21_323d_t,CC21_323e_t,CC21_323f_t,CC21_324a_t,CC21_324b_t,CC21_324c_t,CC21_324d_t,CC21_325a_t,CC21_325b_t,CC21_325c_t,CC21_325d_t
1633329237,0.707310691621415,62,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,single,registered,Independent,a moderate,"$80,000 to $99,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support
1633328341,0.595840190997728,61,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,divorced,registered,Democrat,an extremely liberal,"$60,000 to $69,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support
1633328115,1.0879933977323,37,Female,a 4-year college degree,White,married,registered,Democrat,an extremely liberal,"$120,000 to $149,999",some of the time,Support,Oppose,Support,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Oppose,Support,Support
1632572391,0.729670288672805,43,Male,a 4-year college degree,White,married,registered,Democrat,a liberal,"$150,000 to $199,999",most of the time,Oppose,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Oppose
1633307747,1.61124939633201,64,Male,a 4-year college degree,White,married,registered,Republican,an extremely conservative,"$150,000 to $199,999",most of the time,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Support
1631829797,0.482492026547058,61,Female,no high school diploma,White,separated,registered,Democrat,a liberal,"$30,000 to $39,999",hardly at all,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support
1633297481,0.586623071207481,53,Male,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Democrat,a liberal,"$50,000 to $59,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support
1633328379,0.974041690040027,49,Female,a 4-year college degree,White,divorced,registered,Democrat,a conservative,"$30,000 to $39,999",only now and then,Support,Support,Oppose,Support,Oppose,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support
1633318529,0.494014880663433,64,Female,some college but no degree (yet),White,divorced,registered,Independent,a slightly liberal,"$10,000 to $19,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support
1633329153,2.1927658645547,48,Male,some college but no degree (yet),White,married,unregistered,Democrat,a liberal,"$250,000 to $349,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1633329453,1.32337198396997,41,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Democrat,a slightly liberal,"$150,000 to $199,999",only now and then,Support,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Support,Support,Support,Support,Support
1633328557,0.581019444107536,46,Male,a 4-year college degree,White,married,registered,Democrat,an extremely liberal,"$20,000 to $29,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support
1633328675,0.843269651742085,35,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Independent,a moderate,"$80,000 to $99,999",only now and then,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Support,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose
1633294919,0.490002157284157,57,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Democrat,a slightly liberal,"$150,000 to $199,999",most of the time,Support,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support
1633327919,0.73971328344688,54,Male,a 4-year college degree,White,married,registered,Independent,a moderate,"$100,000 to $119,999",most of the time,Support,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1633328299,1.85246300109695,56,Female,a 4-year college degree,White,married,registered,Independent,a moderate,"$120,000 to $149,999",some of the time,Oppose,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Oppose,Support,Support
1632403363,0.445013345867502,68,Male,a 4-year college degree,White,married,registered,Democrat,an extremely liberal,"$100,000 to $119,999",most of the time,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Oppose,Support,Support
1633328971,0.761462422887826,35,Female,a 2-year college degree,White,married,registered,Independent,an extremely conservative,"$100,000 to $119,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose
1633329087,0.970825475910642,68,Male,a 4-year college degree,White,single,registered,Republican,an extremely conservative,"$10,000 to $19,999",most of the time,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose
1632442187,0.91498794782725,63,Female,a 4-year college degree,White,divorced,registered,Independent,a liberal,"$20,000 to $29,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1633010697,0.952099929375184,64,Male,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Independent,an extremely conservative,"$80,000 to $99,999",most of the time,Oppose,Support,Oppose,Support,Support,Oppose,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Support
1633234615,0.659129209386851,67,Male,a 4-year college degree,White,married,registered,Democrat,a slightly liberal,"$80,000 to $99,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support
1633329361,0.827100549796162,61,Female,a 4-year college degree,White,single,registered,Democrat,a moderate,"less than $10,000",most of the time,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1633329199,1.22176751357301,65,Female,a 4-year college degree,White,married,registered,Democrat,an extremely liberal,"$60,000 to $69,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Oppose
1633328163,0.990135087145001,79,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Democrat,a slightly liberal,"$10,000 to $19,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support
1633328127,0.721179431951507,64,Female,some college but no degree (yet),White,divorced,registered,Republican,a conservative,"$10,000 to $19,999",hardly at all,Support,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Oppose,Support,Support,Support,Oppose,Support,Support,Oppose,Support,Oppose
1633329171,0.858526823683226,64,Female,a 4-year college degree,White,married,registered,Democrat,an extremely liberal,"$80,000 to $99,999",most of the time,Support,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1633329961,0.687713731494507,48,Male,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Democrat,an extremely liberal,"$150,000 to $199,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support
1633328863,0.507659240971597,64,Female,a 2-year college degree,White,married,registered,Republican,an extremely conservative,"$80,000 to $99,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose
1632970281,0.537657296031212,78,Male,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Democrat,a moderate,"$70,000 to $79,999",most of the time,Oppose,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support
1633306385,0.457997762755902,53,Male,some college but no degree (yet),White,divorced,registered,Democrat,a moderate,"$50,000 to $59,999",some of the time,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Oppose,Support,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Support
1633328819,0.749304120791041,73,Female,a 4-year college degree,White,divorced,registered,Independent,a slightly liberal,"$20,000 to $29,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support
1633167571,0.572306770918522,61,Male,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Democrat,a slightly liberal,"$120,000 to $149,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support
1631662763,1.56499984912715,74,Male,a high school diploma,White,widowed,registered,Independent,a conservative,"$30,000 to $39,999",some of the time,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Support,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Support
1632766607,1.06118486981285,63,Female,some college but no degree (yet),White,divorced,registered,Republican,an extremely conservative,"$70,000 to $79,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose
1633329777,0.832954757872694,26,Male,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,single,registered,Democrat,a liberal,"$80,000 to $99,999",some of the time,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Support,Support,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support
1633336353,1.01193200590107,37,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Democrat,a liberal,"$150,000 to $199,999",most of the time,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Oppose,Support,Oppose
1632570827,0.832786852588839,86,Male,some college but no degree (yet),White,married,registered,Republican,a conservative,"$60,000 to $69,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support
1633329883,0.838904346742975,64,Male,a 2-year college degree,White,divorced,registered,Republican,a conservative,"less than $10,000",most of the time,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Support,Oppose,Support,Support
1633329423,0.844481253505246,72,Male,a 4-year college degree,White,divorced,registered,Democrat,a slightly liberal,"$50,000 to $59,999",only now and then,Support,Support,Oppose,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1633260389,0.509024267468134,67,Male,some college but no degree (yet),White,married,registered,Independent,a moderate,"$50,000 to $59,999",most of the time,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support
1633282825,1.12891817348115,68,Male,a 2-year college degree,White,married,registered,Republican,a conservative,"$120,000 to $149,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose
1633315113,1.22564019556584,61,Male,a high school diploma,White,married,registered,Republican,a conservative,"$20,000 to $29,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose
1633136001,1.3770510417884,44,Male,some college but no degree (yet),Asian or Asian-American,single,registered,Independent,a slightly liberal,"$70,000 to $79,999",some of the time,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Support,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Oppose,Support,Support,Support,Support
1633332517,0.806928479135825,72,Female,a 4-year college degree,White,separated,registered,Democrat,a slightly liberal,"$10,000 to $19,999",most of the time,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1633329937,0.944231469990479,47,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Democrat,an extremely liberal,"$100,000 to $119,999",some of the time,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Support,Support,Support
1632672477,1.2681418281065,64,Male,a high school diploma,White,married,registered,Republican,a conservative,"$80,000 to $99,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Support
1633282907,1.23839760155108,67,Male,a 4-year college degree,White,married,registered,Republican,an extremely conservative,"$100,000 to $119,999",most of the time,Oppose,Support,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose
1633328055,0.630923057620713,63,Female,some college but no degree (yet),White,married,registered,Republican,a conservative,"$70,000 to $79,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Support,Support,Support,Support,Oppose
1633193479,0.485084565147295,74,Female,some college but no degree (yet),White,widowed,registered,Democrat,a conservative,"less than $10,000",only now and then,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Support,Oppose,Support,Support,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose
1631458585,0.616317535722108,74,Male,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Democrat,a slightly liberal,"$80,000 to $99,999",most of the time,Oppose,Oppose,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Support,Support,Support,Support,Support
1632766311,1.53947822958046,67,Female,a 4-year college degree,White,married,registered,Democrat,a liberal,"$120,000 to $149,999",most of the time,Oppose,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Support
1631901641,0.56954146397768,72,Female,some college but no degree (yet),White,married,registered,Democrat,a liberal,"$50,000 to $59,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support
1633334591,0.188616766006911,68,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",Black or African-American,single,registered,Independent,a conservative,"$10,000 to $19,999",some of the time,Oppose,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Support,Oppose,Support,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Support,Support,Support,Oppose,Support,Support,Support,Support,Support
1632984633,0.858526823683226,59,Female,a 4-year college degree,White,married,registered,Independent,a liberal,"$50,000 to $59,999",most of the time,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1633049895,0.973373597582078,69,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Independent,a conservative,"$70,000 to $79,999",most of the time,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Oppose,Support,Support,Support,Support
1632825245,0.921940582175594,51,Male,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Democrat,a liberal,"$50,000 to $59,999",some of the time,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support
1633306117,0.90603866267387,63,Female,a 4-year college degree,White,divorced,registered,Democrat,an extremely liberal,"$10,000 to $19,999",most of the time,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1633330565,0.627583445025852,67,Male,some college but no degree (yet),White,widowed,registered,Independent,a conservative,"$20,000 to $29,999",most of the time,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support
1633271223,0.395098040866226,60,Male,some college but no degree (yet),White,married,registered,Democrat,a moderate,"$100,000 to $119,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Oppose,Support,Support,Support,Oppose
1633329837,0.647127797302599,76,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,widowed,registered,Democrat,an extremely liberal,"$30,000 to $39,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Support,Support,Support
1632987967,0.443761312995377,78,Female,some college but no degree (yet),Black or African-American,widowed,registered,Democrat,an extremely liberal,"$10,000 to $19,999",most of the time,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Support,Support,Support,Support,Support
1633340035,0.9889619908256,59,Male,a 4-year college degree,White,divorced,registered,Republican,a conservative,"$70,000 to $79,999",most of the time,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support
1631909991,1.18367609138087,82,Female,a high school diploma,White,widowed,registered,Independent,a slightly conservative,"$10,000 to $19,999",only now and then,Support,Support,Support,Support,Support,Support,Support,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1631407659,1.02614190658011,64,Male,some college but no degree (yet),White,widowed,registered,Republican,an extremely conservative,"$30,000 to $39,999",some of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose
1632825265,0.812112380626325,70,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,divorced,registered,Democrat,an extremely liberal,"$60,000 to $69,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Support,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1633317737,0.548687534682278,68,Male,some college but no degree (yet),White,married,registered,Independent,a slightly conservative,"$50,000 to $59,999",only now and then,Support,Support,Oppose,Support,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Oppose,Support,Support,Support,Support,Support,Support
1633340451,2.19380982702994,73,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,widowed,unregistered,Republican,a liberal,"$40,000 to $49,999",some of the time,Oppose,Oppose,Support,Support,Oppose,Oppose,Support,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Oppose,Support,Support,Support,Support,Support,Oppose,Support,Support,Support,Support,Support,Support
1633340331,1.24222115161907,52,Male,a 4-year college degree,White,married,registered,Independent,a conservative,"$100,000 to $119,999",most of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Support,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose
1631780915,0.311999131926358,66,Male,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",Hispanic or Latino,married,registered,Independent,an extremely conservative,"$80,000 to $99,999",some of the time,Oppose,Support,Oppose,Oppose,Support,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose
1633331805,0.586623071207481,55,Male,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Independent,a moderate,"$150,000 to $199,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Support,Support,Oppose,Oppose,Oppose,Support,Oppose,Oppose,Oppose,Oppose,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Oppose,Support,Support
1633307723,0.510917376296955,70,Female,some college but no degree (yet),Black or African-American,widowed,registered,Democrat,a moderate,"$50,000 to $59,999",some of the time,Support,Oppose,Oppose,Support,Support,Support,Oppose,Support,Oppose,Support,Support,Support,Support,Oppose,Support,Support,Support,Oppose,Oppose,Support,Oppose,Support,Support,Support,Support,Support,Support,Support,Support,Support
1633339917,0.493902054564406,42,Female,"a post-graduate degree (e.g., MA, MBA, PhD, JD, etc.)",White,married,registered,Democrat,an extremely liberal,"$120,000 to $149,999",most of the time,Support,Oppose,Support,Support,Oppose,Support,Oppose,Oppose,Support,Support,Support,Support,Oppose,Oppose,Oppose,Support,Support,Oppose,Oppose,Oppose,Oppose,Support,Support,Support,Support,Support,Oppose,Oppose,Support,Support
